disease_name,primary_dosha,secondary_dosha,body_attributes_imbalance,tissues_affected,main_healing_herb,herb_preparation,herb_vehicle,herb_action,diet_to_favor,diet_to_avoid,lifestyle_modification,recommended_yoga_pose,recommended_breathing_exercise,meditation_focus
pain disorder affecting the neck,Vata,None,Greevastambha,Asthi Dhatu,Prasaranyadi,Taila,External/Warm water,Vedanasthapana,"Warm, oily food",Cold wind,Posture correction,Marjariasana,Anulom Vilom,Cervical comfort
cervicitis,Pitta,Kapha,Yonivyapad,Artavavaha Srotas,Lodhra,Kwatha,Water,Shothahara,Anti-inflammatory,Spicy food,Local hygiene,Baddha Konasana,Anulom Vilom,Cervical healing
intestinal disease,Vata,Pitta,Antra-roga,Annavaha Srotas,Bilva,Churna,Buttermilk,Grahi,"Light, cooked food",Raw food,Regular habits,Pavanamuktasana,Anulom Vilom,Digestive health
athlete's foot,Kapha,Pitta,Alasa,Twak (Skin),Neem,Oil/Lep,Honey or Warm water,Krimighna,"Bitter, light food",Moisture,Keep feet dry,Tadasana,Kapalbhati,Skin fungal control
peritonitis,Sannipata,None,Antarapradaha,Sarva-deha,Guduchi,Satva,Water,Jwarahara/Vishagna,Liquid diet,Solid foods,Emergency care,Shavasana,Anulom Vilom,Peritoneal calm
shingles (herpes zoster),Pitta,Vata,Visarpa,Rakta Dhatu,Sariva,Phant,Water,Raktaprasadana,"Cooling, bland food",Pungent food,Isolation/Rest,Shavasana,Sheetali,Neuralgic relief
endometriosis,Vata,Pitta,Artava-vikara,Artavavaha Srotas,Ashoka,Arishta,Water,Artavapravartini,"Warm, anti-inflammatory","Cold, spicy food",Pain management,Baddha Konasana,Nadi Shodhana,Hormonal balance
osteoporosis,Vata,None,Asthi-saushirya,Asthi Dhatu,Laksha,Guggulu,Milk,Asthibalya,Calcium-rich diet,Excessive salt,Weight-bearing activity,Trikonasana,Anulom Vilom,Bone density
ulcerative colitis,Pitta,Vata,Raktatishara,Purishavaha Srotas,Kutaja,Arishta,Water,Grahi/Ropana,"Soft, cooling food",Fiber (during flare),Stress reduction,Vajrasana,Sheetali,Colonic healing
crohn disease,Vata,Pitta,Grahani,Annavaha Srotas,Bilva,Vati,Buttermilk,Deepana/Pachana,"Warm, moist food",Raw salad,Probiotics,Pavanamuktasana,Anulom Vilom,Intestinal absorption
paroxysmal supraventricular tachycardia,Vata,Pitta,Hrid-twarata,Hridaya,Arjuna,Vati,Water,Hridya,"Oats, Fruits","Caffeine, Nicotine",Vagal maneuvers,Shavasana,Brahmari,Heart rate control
missed abortion,Vata,None,Garbhashosha,Artava Dhatu,Ashwagandha,Ksheerpaka,Milk,Balya,Highly nutritious,Stress,Grief counseling,Shavasana,Nadi Shodhana,Uterine recovery
hepatitis due to a toxin,Pitta,None,Yakrit-shotha,Yakrit (Liver),Bhunimba,Kwatha,Water,Vishagna/Yakrit-uttejaka,"Bitter, light food","Alcohol, Fats",Rest,Katichakrasana,Sheetali,Liver detox
nasal polyp,Kapha,Vata,Nasarshas,Nasa (Nose),Anu Taila,Nasya,Honey or Warm water,Lekhana,"Warm food, Honey","Dairy, Cold food",Nasal hygiene,Adho Mukha Svanasana,Kapalbhati,Airway clearance
alcohol intoxication,Pitta,Vata,Madatyaya,Manovaha Srotas,Draksharishta,Arishta,Water,Madanaka-hara,Hydrating liquids,Alcohol,Recovery fluids,Shavasana,Sheetali,Sobriety grounding
cardiac arrest,Sannipata,None,Hrid-stambha,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,Cardioprotective food,High salt,Emergency CPR,Shavasana,Anulom Vilom,Life force
temporomandibular joint disorder,Vata,None,Hanustambha,Asthi Dhatu,Prasaranyadi,Taila,External,Vatashamana,"Soft, warm food",Hard food,Jaw relaxation,Simhasana,Brahmari,TMJ balance
ectopic pregnancy,Vata,Pitta,Garbhavikara,Artavavaha Srotas,None (Surgical),Immediate Medical,Warm Milk or Sesame oil,Shamana (Pacification) and Dhatu-poshana (Tissue nourishment),"Liquid, soft food",Exertion,Emergency surgery,Shavasana,Anulom Vilom (Alternate Nostril Breathing),Recovery focus
vitreous degeneration,Vata,None,Drishti-kshaya,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Rasayana,Vitamin A food,Screen time,Regular eye exam,Trataka,Anulom Vilom,Visual clarity
abscess of the pharynx,Pitta,Kapha,Kantha-vidradhi,Rasa Dhatu,Triphala,Gargle,Honey,Shothahara/Pachana,Warm fluids,Spicy food,Warm salt gargle,Simhasana,Ujjayi,Throat relief
alopecia,Pitta,Vata,Indralupta,Asthi Dhatu (Hair),Bhringraj,Taila/Churna,Water,Keshyam,"Iron, Protein rich",Excessive salt,Scalp massage,Sarvangasana,Anulom Vilom,Hair growth
hydronephrosis,Vata,Kapha,Mutraghata,Mutravaha Srotas,Punarnava,Kwatha,Water,Mutrala,Hydrating foods,Salt,Bladder drainage,Bhujangasana,Anulom Vilom,Renal flow
cranial nerve palsy,Vata,None,Ardita (contextual),Majja Dhatu,Mashabaladi,Kwatha,Warm water,Vatashamana,Nerve nourishing,Cold wind,Nerve stimulation,Simhasana,Anulom Vilom,Nerve function
pilonidal cyst,Kapha,Pitta,Granthi-vidradhi,Mamsa Dhatu,Kanchanar,Guggulu,Warm water,Lekhana/Ropana,"Low fat, high fiber",Sedentary life,Local hygiene,Tadasana,Kapalbhati,Tissue integrity
colonic polyp,Kapha,Vata,Antrarshas,Purishavaha Srotas,Kanchanar Guggulu,Vati,Warm water,Lekhana,Fiber-rich diet,Refined flour,Bowel regularity,Pavanamuktasana,Kapalbhati,Cellular balance
dementia,Vata,Kapha,Smriti-bhramsha,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,"Warm, grounding food",Sensory overload,Cognitive exercises,Vrikshasana,Nadi Shodhana,Mental focus
trichomonas infection,Kapha,Pitta,Yonivyapad,Artavavaha Srotas,Triphala,Varti,Water,Krimighna,Anti-inflammatory,Sugary foods,Partner treatment,Baddha Konasana,Anulom Vilom,Microbial health
tonsillar hypertrophy,Kapha,None,Tundikeri,Rasa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,"Warm water, Honey",Cold drinks,Warm salt gargle,Simhasana,Ujjayi,Tonsil reduction
scleroderma,Vata,Kapha,Twak-stambha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana/Vatashamana,"Warm, unctuous food",Cold exposure,Skin massage,Tadasana,Sheetali,Tissue flexibility
bladder obstruction,Vata,Kapha,Mutra-avarodha,Mutravaha Srotas,Varuna,Kwatha,Water,Mutrala,Hydrating foods,Caffeine,Regular voiding,Bhujangasana,Anulom Vilom,Urinary flow
asperger syndrome,Vata,Rajas,Unmada (contextual),Manovaha Srotas,Brahmi,Grita,Milk,Medhya,Structured diet,Artificial additives,Social skills training,Vrikshasana,Brahmari,Social harmony
lateral epicondylitis (tennis elbow),Vata,None,Snayu-shoola,Snayu,Shallaki,Vati,Warm water,Shothahara,Anti-inflammatory,Repetitive motion,Rest and brace,Sukshma Vyayama,Anulom Vilom,Tendon comfort
alzheimer disease,Vata,Tamas,Smriti-nasha,Manovaha Srotas,Saraswata Ghrita,Ghrita,Milk,Medhya,Nerve nourishing,Processed food,Safe routine,Padmasana,Anulom Vilom,Cognitive clarity
jaw disorder,Vata,None,Hanustambha,Asthi Dhatu,Dashmoola,Kwatha,Warm water,Vatashamana,Soft food,Gum chewing,Jaw exercises,Simhasana,Brahmari,Mandibular ease
venous insufficiency,Vata,Kapha,Siragranthi,Rakta Dhatu,Punarnava,Guggulu,Warm water,Lekhana,"Low salt, fiber",Long standing,Elevation of legs,Viparita Karani,Anulom Vilom,Venous return
impulse control disorder,Rajas,None,Mano-vega,Manovaha Srotas,Jatamansi,Churna,Milk,Manoprasadana,Sattvic food,Violent media,Mindfulness training,Padmasana,Anulom Vilom,Self-mastery
tietze syndrome,Vata,Pitta,Ura-shoola,Asthi Dhatu,Shallaki,Vati,Warm water,Shothahara,Warm fluids,Heavy lifting,Rest,Shavasana,Anulom Vilom,Chest comfort
cirrhosis,Pitta,Vata,Yakrit-dalyudara,Yakrit (Liver),Katuki,Churna,Water,Yakrit-uttejaka,"Bitter, light food",Alcohol,Strict rest,Katichakrasana,Sheetali,Liver recovery
mononucleosis,Pitta,Kapha,Jwara-shotha,Rasa Dhatu,Guduchi,Satva,Water,Jwarahara,"Light fluids, Honey",Physical exertion,Long rest,Shavasana,Anulom Vilom,Immune recovery
anemia,Pitta,Vata,Pandu,Rakta Dhatu,Punarnava Mandura,Vati,Buttermilk,Raktavardhaka,"Iron-rich, Amla",Excess tea,Daily walk,Vrikshasana,Anulom Vilom,Blood vitality
drug abuse (methamphetamine),Vata,Rajas,Ojo-kshaya,Manovaha Srotas,Ashwagandha,Ghrita,Milk,Rasayana/Medhya,"Nourishing, sattvic",Drugs,De-addiction support,Padmasana,Bhastrika,Vital restoration
sarcoidosis,Kapha,Vata,Granthi-roga,Rasa Dhatu,Kanchanar Guggulu,Vati,Warm water,Shothahara,Anti-inflammatory,Smoking,Lung care,Matsyasana,Deep breathing,Immune modulation
atrophic vaginitis,Vata,None,Yonishosha,Artavavaha Srotas,Shatavari,Ghrita,Milk,Balya/Rasayana,"Oily, warm food",Dry food,Local oiling (Pichu),Baddha Konasana,Anulom Vilom,Vaginal hydration
fluid overload,Kapha,None,Shotha,Rasa Dhatu,Punarnava,Kwatha,Water,Mutrala,Low salt diet,Excess fluids,Monitor weight,Viparita Karani,Anulom Vilom,Fluid balance
head and neck cancer,Vata,Kapha,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana/Vishagna,Antioxidant rich,Tobacco,Radiation care,Shavasana,Anulom Vilom,Cellular repair
premature ventricular contractions (pvcs),Vata,Pitta,Hrid-kampa,Hridaya,Arjuna,Vati,Water,Hridya,"Balanced, warm food","Stress, Caffeine",Relaxation,Shavasana,Bhramari,Cardiac rhythm
intracranial hemorrhage,Pitta,Vata,Raktaja-roga,Majja Dhatu,Sariva,Phant,Water,Raktapittahara,"Cooling, bland food","Alcohol, Spices",Absolute rest,Shavasana,Sheetali,Vessel stability
astigmatism,Vata,None,Drishti-dosha,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,Vitamin A foods,Screen strain,Palming,Trataka,Anulom Vilom,Refractive balance
urethral disorder,Pitta,Vata,Mutrakrichra,Mutravaha Srotas,Gokshura,Kwatha,Water,Mutrala,Hydrating diet,Spicy food,Water intake,Bhujangasana,Anulom Vilom,Urethral health
cardiomyopathy,Vata,Kapha,Hrid-roga,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,"Oats, Fruits","Salt, Fat",Weight management,Shavasana,Bhramari,Myocardial strength
vasculitis,Pitta,Rakta,Rakta-shotha,Rakta Dhatu,Manjistha,Kwatha,Water,Raktashodhaka,Anti-inflammatory,Fermented foods,Avoid triggers,Tadasana,Sheetali,Vascular health
meningitis,Sannipata,None,Mastishka-shotha,Majja Dhatu,Guduchi,Satva,Water,Jwarahara,Liquid diet,Solid food,Emergency care,Shavasana,Anulom Vilom,Neural protection
chronic pancreatitis,Pitta,Kapha,Agnyashaya-shotha,Annavaha Srotas,Bhunimba,Kwatha,Water,Pachana,"Low fat, bland","Alcohol, Fats",Avoid overeating,Shavasana,Sheetali,Pancreatic flow
pneumothorax,Vata,None,Vata-purna-ura,Pranavaha Srotas,Vasa,Avaleha,Honey,Vatashamana,Nourishing fluids,Exertion,Medical drainage,Shavasana,Anulom Vilom,Lung expansion
abscess of nose,Pitta,Kapha,Nasa-vidradhi,Nasa (Nose),Neem,Lep,Water,Ropana/Shothahara,Cooling diet,Spicy food,Warm compress,Adho Mukha Svanasana,Kapalbhati,Nasal healing
mucositis,Pitta,None,Mukha-paka,Rasa Dhatu,Yastimadhu,Ghanvati,Honey,Ropana,"Soft, cool food","Citrus, Spices",Gargling,Simhasana,Sheetali,Mucosal repair
induced abortion,Vata,Pitta,Garbhasrava (Induced),Artava Dhatu,Ashoka,Arishta,Water,Artavapravartini,"Nourishing, warm",Strain,Post-care rest,Shavasana,Nadi Shodhana,Uterine recovery
restless leg syndrome,Vata,None,Chala-vata,Mamsa Dhatu,Ashwagandha,Taila,Warm Milk,Vatashamana,Iron-rich food,Caffeine,Warm foot soak,Vajrasana,Brahmari,Muscle steadying
ischemia of the bowel,Vata,Pitta,Srotorodha,Annavaha Srotas,Arjuna,Vati,Water,Vatashamana,"Liquid, warm food","Solid, dry food",Medical monitoring,Pavanamuktasana,Anulom Vilom,Intestinal flow
orthostatic hypotension,Vata,None,Bhrama,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,"Hydrating, salty",Sudden standing,Compression socks,Tadasana,Anulom Vilom,Blood pressure stability
kidney failure,Vata,Pitta,Vrikka-roga,Mutravaha Srotas,Punarnava,Kwatha,Water,Mutrala,"Low protein, Low salt",Potassium rich,Dialysis support,Paschimottanasana,Sheetali,Renal vitality
meniere disease,Vata,None,Bhrama,Karna (Inner ear),Saraswatarishta,Arishta,Water,Medhya/Vatashamana,Low salt diet,"Caffeine, Alcohol",Balance exercises,Tadasana,Bhramari,Vestibular balance
drug abuse (cocaine),Rajas,Vata,Ojo-kshaya,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,"Sattvic, fresh",Drugs,Counseling,Padmasana,Bhastrika,Central nervous recovery
foreign body in the eye,Vata,None,Netra-shoola,Netra (Eyes),Rose Water,Wash,Warm Milk or Sesame oil,Lekhana/Ropana,"Warm cooked meals, Mung dal, Seasonal vegetables",Rubbing eye,Immediate removal,Shavasana,Anulom Vilom,Ocular safety
torticollis,Vata,None,Manyastambha,Mamsa Dhatu,Prasaranyadi,Taila,Warm water,Vatashamana,"Warm, moist food",Cold wind,Gentle massage,Marjariasana,Anulom Vilom,Neck flexibility
retinal detachment,Vata,None,Netra-kshata,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,Nourishing food,Strain,"Surgery, Bed rest",Shavasana,Anulom Vilom,Retinal integrity
nerve impingement near the shoulder,Vata,None,Amsa-shoola,Majja Dhatu,Shallaki,Vati,Warm water,Vedanasthapana,Anti-inflammatory,Sudden moves,Physiotherapy,Tadasana,Anulom Vilom,Nerve release
tinnitus of unknown cause,Vata,None,Karnanada,Karna (Ear),Ashwagandha,Taila,Warm water/Milk,Vatashamana,"Warm, unctuous",Loud noise,Karna Purana,Simhasana,Bhramari,Auditory calm
tension headache,Vata,None,Shirashoola,Manovaha Srotas,Jatamansi,Churna,Milk,Medhya,"Warm, grounding",Stress,Massage,Shavasana,Brahmari,Mental relaxation
urethral stricture,Vata,Kapha,Mutra-sangha,Mutravaha Srotas,Varuna,Kwatha,Water,Lekhana,Hydrating liquids,Dry food,Urethral dilation,Bhujangasana,Anulom Vilom,Urinary passage
melanoma,Vata,Pitta,Arbudha,Rakta Dhatu,Manjistha,Arishta,Water,Vishagna,Antioxidant rich,Sun exposure,Skin checks,Tadasana,Sheetali,Cellular defense
fracture of the vertebra,Vata,None,Asthi-bhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,"Calcium, Protein",Physical effort,Spinal brace,Shavasana,Anulom Vilom,Spinal union
polycystic ovarian syndrome (pcos),Kapha,Vata,Granthi,Artavavaha Srotas,Kanchanar,Vati,Warm water,Lekhana,Low GI diet,Sugar,Exercise,Baddha Konasana,Kapalbhati,Hormonal balance
heat exhaustion,Pitta,None,Surya-tapita,Rasa Dhatu,Amalaki,Swarasa,Water,Daha-prashamana,Cooling drinks,Direct sun,Hydration,Tadasana,Sheetali,Core cooling
arrhythmia,Vata,Pitta,Hrid-kampa,Hridaya,Arjuna,Vati,Water,Hridya,Magnesium rich,Caffeine,Stress management,Shavasana,Bhramari,Heart rhythm
scar,Vata,Kapha,Vrana-vastu,Twak (Skin),Aloe Vera,Gel,Warm Milk or Sesame oil,Twachya,Fresh food,Junk food,Local massage,Tadasana,Anulom Vilom,Tissue remodeling
stress incontinence,Vata,None,Mutra-atpravritti,Mutravaha Srotas,Gokshura,Vati,Water,Balya,Fiber-rich,Caffeine,Pelvic floor exercises,Mula Bandha,Anulom Vilom,Pelvic strength
drug withdrawal,Vata,Pitta,Madatyaya,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,"Nutritious, warm",Addictive agents,Constant monitoring,Shavasana,Brahmari,Systemic stability
bone disorder,Vata,None,Asthi-roga,Asthi Dhatu,Shallaki,Vati,Warm water,Sandhanaka,Calcium-rich,Carbonated drinks,Walking,Trikonasana,Anulom Vilom,Skeletal strength
subconjunctival hemorrhage,Pitta,None,Netra-rakta,Netra (Eyes),Rose Water,Eye wash,Ghee or Cooling water,Raktaprasadana,Cooling food,Straining,Eye rest,Shavasana,Sheetali,Blood reabsorption
graves disease,Pitta,Vata,Vata-pitta-vriddhi,Rasa Dhatu,Kanchanar,Guggulu,Warm water,Lekhana/Pitta-shaman,Cooling food,Iodine excess,Stress reduction,Sarvangasana,Sheetali,Thyroid balance
peritonsillar abscess,Pitta,Kapha,Kantha-vidradhi,Rasa Dhatu,Triphala,Gargle,Honey,Pachan/Shothahara,"Warm, soft",Hard food,Oral hygiene,Simhasana,Ujjayi,Throat healing
alcoholic liver disease,Pitta,Vata,Yakrit-roga,Yakrit (Liver),Bhunimba,Kwatha,Water,Yakrit-uttejaka,"Bitter, fresh",Alcohol,Strict abstinence,Katichakrasana,Sheetali,Liver regeneration
aphthous ulcer,Pitta,None,Mukha-paka,Rasa Dhatu,Yastimadhu,Churna/Lep,Honey,Ropana,"Cooling, bland",Spicy food,B-complex rich,Simhasana,Sheetali,Oral ease
genital herpes,Pitta,Kapha,Visarpa,Rakta Dhatu,Neem,Taila,Ghee or Cooling water,Krimighna/Vishagna,Cooling food,Salty food,Hygiene,Baddha Konasana,Sheetali,Skin viral control
deep vein thrombosis (dvt),Vata,Kapha,Siragranthi,Rakta Dhatu,Guggulu,Vati,Warm water,Lekhana,"Low fat, high fiber",Prolonged sitting,Leg elevation,Viparita Karani,Anulom Vilom,Clot resolution
atrial flutter,Vata,Pitta,Hrid-kampa,Hridaya,Arjuna,Vati,Water,Hridya,Heart-healthy,Stimulants,Cardiac care,Shavasana,Bhramari,Atrial rhythm
hydrocele of the testicle,Kapha,Vata,Vridhi,Mamsa Dhatu,Punarnava,Kwatha,Water,Shothahara,Low salt diet,Heavy lifting,Scrotal support,Viparita Karani,Anulom Vilom,Fluid drainage
brain cancer,Sannipata,None,Arbudha,Majja Dhatu,Guduchi,Arishta,Water,Rasayana/Vishagna,Antioxidant,Toxins,Holistic care,Shavasana,Anulom Vilom,Neuro-stability
anal fissure,Vata,Pitta,Parikartika,Guda (Rectum),Triphala,Grita,Warm water,Ropana/Anulomana,"High fiber, Papaya","Chili, Spices",Sitz bath,Pavanamuktasana,Anulom Vilom,Healing anal canal
sickle cell anemia,Vata,Rakta,Rakta-kshaya,Rakta Dhatu,Punarnava Mandura,Vati,Buttermilk,Raktavardhaka,Iron rich,Hypoxia,Hydration,Shavasana,Nadi Shodhana,Hemoglobin health
migraine,Pitta,Vata,Ardhavabhedaka,Manovaha Srotas,Pathyadi,Kwatha,Water,Pitta-shaman,"Cooling, regular","Direct sun, caffeine",Relaxation,Shavasana,Brahmari,Headache relief
premature atrial contractions (pacs),Vata,Pitta,Hrid-twarata,Hridaya,Arjuna,Vati,Water,Hridya,Balanced,Caffeine,Avoid stress,Shavasana,Bhramari,Cardiac rhythm
uterine atony,Vata,None,Garbhashaya-shithilata,Artavavaha Srotas,Ashoka,Arishta,Water,Balya,Iron-rich food,Exertion,Uterine massage,Baddha Konasana,Anulom Vilom,Uterine tone
preeclampsia,Pitta,Vata,Garbhini-vyadhi,Rakta Dhatu,Punarnava,Kwatha,Water,Shothahara,"Low salt, nutritious","Spices, High salt","Bed rest, monitor",Shavasana,Anulom Vilom,Maternal-fetal health
thyroid nodule,Kapha,Vata,Galaganda,Mamsa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,Low fat diet,"Soy, Cabbage",Neck exercises,Sarvangasana,Ujjayi,Nodule reduction
pterygium,Vata,Kapha,Arma,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Lekhana,Vitamin A rich food,Dust/UV exposure,Protective eyewear,Trataka,Anulom Vilom,Growth reduction
substance-related mental disorder,Vata,Rajas,Madatyaya,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,Sattvic food,Addictive substances,Rehabilitation,Padmasana,Brahmari,Mental stability
overflow incontinence,Vata,Kapha,Mutra-atpravritti,Mutravaha Srotas,Shilajit,Vati,Warm water,Vatashamana,Hydrating diet,"Alcohol, Caffeine",Bladder training,Mula Bandha,Anulom Vilom,Bladder emptying
presbyopia,Vata,None,Drishti-kshaya,Netra (Eyes),Triphala Ghrita,Ghrita,Milk,Chakshushya,"Nutritious, oily food",Dim light reading,Eye exercises,Trataka,Anulom Vilom,Visual focus
osteochondroma,Kapha,Vata,Asthi-granthi,Asthi Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,"Low fat, high fiber",Sedentary life,Regular movement,Tadasana,Anulom Vilom,Bone health
lyme disease,Sannipata,Vata,Jwara-shotha,Rakta Dhatu,Guduchi,Satva,Water,Vishagna,Anti-inflammatory,Allergens,Rest,Shavasana,Anulom Vilom,Immune modulation
acute glaucoma,Pitta,Vata,Adhimantha,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,Cooling food,Straining,Emergency pressure care,Trataka,Sheetali,Ocular pressure
drug poisoning due to medication,Pitta,None,Visha,Rakta Dhatu,Sariva,Phant,Water,Vishagna,Cooling liquids,Trigger drugs,Hydration,Shavasana,Sheetali,Detoxification
benign kidney cyst,Kapha,Vata,Vrikka-granthi,Mutravaha Srotas,Varuna,Kwatha,Water,Lekhana,"Low salt, high fiber",Excessive salt,Regular monitoring,Bhujangasana,Anulom Vilom,Renal integrity
pancreatic cancer,Sannipata,None,Arbudha,Annavaha Srotas,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,"Sugar, Alcohol",Holistic care,Shavasana,Anulom Vilom,Digestive vitality
trigeminal neuralgia,Vata,None,Anantavata,Majja Dhatu,Mashabaladi,Kwatha,Warm water,Vatashamana,"Warm, soft food",Cold wind,Warm compress,Simhasana,Brahmari,Nerve calming
plantar fasciitis,Vata,None,Vata-kantaka,Snayu,Shallaki,Vati,Warm water,Shothahara,Anti-inflammatory,Standing long hours,Foot stretches,Tadasana,Anulom Vilom,Foot comfort
female genitalia infection,Kapha,Pitta,Yonivyapad,Artavavaha Srotas,Triphala,Wash,Water,Krimighna,"Yogurt, Bitters",Sweets,Local hygiene,Baddha Konasana,Anulom Vilom,Microbial balance
essential tremor,Vata,None,Kampa-vata,Majja Dhatu,Ashwagandha,Taila,Warm Milk,Vatashamana,Grounding food,"Caffeine, Stress",Restful routine,Vrikshasana,Anulom Vilom,Stability
poisoning due to gas,Vata,None,Visha-vayu,Pranavaha Srotas,Tulsi,Arka,Honey,Vishagna,Fresh fluids,Gas exposure,Oxygen therapy,Shavasana,Bhastrika,Respiratory clearing
cold sore,Pitta,None,Mukha-paka,Rakta Dhatu,Neem,Lep,Ghee or Cooling water,Krimighna,Cooling food,Spicy food,Stress management,Simhasana,Sheetali,Viral control
primary insomnia,Vata,None,Anidra,Manovaha Srotas,Jatamansi,Churna,Milk,Nidrajanaka,Warm milk before bed,Evening caffeine,Abhyanga,Shavasana,Brahmari,Sleep onset
tracheitis,Kapha,Pitta,Kantha-shotha,Pranavaha Srotas,Vasa,Avaleha,Honey,Shothahara,Warm liquids,Cold drinks,Steam inhalation,Simhasana,Ujjayi,Airway relief
panic attack,Vata,None,Manas-chala,Manovaha Srotas,Brahmi,Vati,Milk,Medhya,"Warm, sweet food",Stimulants,Deep breathing,Balasana,Nadi Shodhana,Immediate calm
osteomyelitis,Pitta,Kapha,Asthi-vidradhi,Asthi Dhatu,Guggulu,Vati,Warm water,Ropana/Shothahara,Anti-inflammatory,Junk food,Immobilization,Shavasana,Anulom Vilom,Bone healing
scabies,Kapha,Pitta,Kacchu,Twak (Skin),Neem,Taila,Honey or Warm water,Krimighna,Bitter vegetables,Salty food,Personal hygiene,Surya Namaskar,Kapalbhati,Skin parasite clearance
narcolepsy,Kapha,Tamas,Tandra,Manovaha Srotas,Vacha,Churna,Honey,Medhya,"Light, fresh food","Heavy, fatty meals",Regular sleep cycle,Tadasana,Bhastrika,Alertness
persistent vomiting of unknown cause,Pitta,Vata,Chardi,Annavaha Srotas,Amalaki,Churna,Honey,Chardi-nigrahana,Sips of cool water,Solid food,Rest,Shavasana,Sheetali,Gastric calm
pulmonary eosinophilia,Kapha,Pitta,Shwasa-shotha,Pranavaha Srotas,Haridra,Khanda,Warm water,Shothahara,"Warm, light food",Allergens,Avoid dust,Matsyasana,Kapalbhati,Lung immunity
fracture of the pelvis,Vata,None,Asthi-bhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,"Calcium, protein",Movement,Complete bed rest,Shavasana,Anulom Vilom,Pelvic union
polycystic kidney disease,Kapha,Vata,Vrikka-granthi,Mutravaha Srotas,Punarnava,Kwatha,Water,Lekhana,"Low salt, balanced",High protein,Monitor renal function,Bhujangasana,Anulom Vilom,Cyst control
injury of the ankle,Vata,None,Gulpha-shoola,Snayu,Nirgundi,Taila,Warm water,Vatashamana,Protein rich,Walking,Ice and compression,Tadasana,Anulom Vilom,Joint recovery
malignant hypertension,Pitta,Vata,Raktachapa,Rakta Dhatu,Sarpagandha,Vati,Milk,Hridya,Strict low sodium,"Stress, Alcohol",Emergency care,Vajrasana,Nadi Shodhana,Pressure control
thoracic outlet syndrome,Vata,None,Snayu-shoola,Majja Dhatu,Bala,Oil,Warm Milk,Vatashamana,Nerve nourishing,Slumping posture,Physiotherapy,Tadasana,Anulom Vilom,Nerve space
gastroparesis,Vata,Kapha,Agni-mandya,Annavaha Srotas,Trikatu,Churna,Warm water,Deepana,"Small, liquid meals","High fiber, fat",Walking after meals,Vajrasana,Anulom Vilom,Gastric motility
scoliosis,Vata,None,Kubja,Asthi Dhatu,Sahacharadi,Taila,Warm Milk,Vatashamana,Nutritious diet,Heavy school bags,Postural training,Tadasana,Anulom Vilom,Spinal alignment
soft tissue sarcoma,Kapha,Vata,Mamsarbuda,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant food,Carcinogens,Oncology care,Shavasana,Anulom Vilom,Cellular balance
orbital cellulitis,Pitta,Kapha,Netra-shotha,Netra (Eyes),Triphala,Grita,Water,Shothahara,Cooling food,Touching eye,Emergency antibiotics,Trataka,Sheetali,Infection clearance
headache after lumbar puncture,Vata,None,Shirashoola,Majja Dhatu,Ashwagandha,Ksheerpaka,Milk,Balya,Hydrating fluids,Sudden standing,"Lie flat, rest",Shavasana,Anulom Vilom,CSF balance
chronic rheumatic fever,Vata,Kapha,Amavata,Sandhi (Joints),Amritadi Guggulu,Vati,Warm water,Amapachana,"Warm, light food","Curd, Cold food",Prevent infections,Pavanamuktasana,Bhastrika,Joint protection
thoracic aortic aneurysm,Vata,Pitta,Siraja-roga,Rakta Dhatu,Arjuna,Vati,Water,Hridya,Heart healthy,Heavy lifting,Regular monitoring,Shavasana,Bhramari,Vessel strength
psychosexual disorder,Vata,Rajas,Manovaha-roga,Shukravaha Srotas,Ashwagandha,Ghrita,Milk,Vajikarana/Medhya,Sattvic food,Anxiety triggers,Counseling,Padmasana,Anulom Vilom,Sexual harmony
broken tooth,Vata,None,Danta-bhanga,Asthi Dhatu,Irimedadi,Taila,Oil pulling,Sandhanaka,Soft food,Hard food,Dental repair,Simhasana,Sheetali,Dental integrity
chlamydia,Pitta,Kapha,Upadansha,Shukravaha Srotas,Neem,Vati,Water,Krimighna,Anti-inflammatory,Fermented food,Safe practices,Baddha Konasana,Anulom Vilom,Infection control
